step	loss
0	9.054673198428901
1	8.50713047963971
2	7.482027565553569
3	6.017754292980276
4	5.0089501417308755
5	4.576303637653081
6	3.4668701898360545
7	2.308784204266796
8	1.087620451826821
9	0.5227817165036712
